name,price,weight,pricePerGram,coupangLink,sourceKeyword,productId
"앵커 버터 (냉동)","15900","1000","15.9","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=206818868&itemId=19224737744&vendorItemId=86341408674&traceid=V0-153-4c24503c4a4cc6bb&requestid=20260226211426395040929916&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","무염버터","206818868"
"프렙델리 식물성 액상버터, 1개, 2L","48000","2000","24.0","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=9302543022&itemId=27558424268&vendorItemId=94522518590&traceid=V0-153-9ac6457b1042956a&clickBeacon=b1869ac0-130c-11f1-96a0-6f7016c57748%7E3&requestid=20260226211426395040929916&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","무염버터","9302543022"
"앵커 무염버터","27360","1000","27.36","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=9265140313&itemId=22121486341&vendorItemId=94431695651&traceid=V0-153-232c5d88a7a67801&requestid=20260226211426395040929916&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","무염버터","9265140313"
"앵카버터 454g 뉴질랜드 앵커버터 아이스박스 아이스팩 무료","18730","454","41.2555","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=7847571181&itemId=24253603203&vendorItemId=93234207731&traceid=V0-153-69a2abffccb9d5d1&requestid=20260226211426395040929916&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","무염버터","7847571181"
"목초방목 기버터(주문시 국내생산) 거두올림 320g, 320g, 1개","27500","320","85.9375","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=8989914168&itemId=27698423134&vendorItemId=94660144422&traceid=V0-153-9de5f7d5894cba4b&clickBeacon=b186c1d0-130c-11f1-9692-f701180d9318%7E3&requestid=20260226211426395040929916&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","무염버터","8989914168"
"이즈니 트러플 수제 버터 (무염), 250g, 1개","32950","250","131.8","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=7954264617&itemId=24961526417&vendorItemId=92847613574&traceid=V0-153-4a8a6f1952ab41ae&clickBeacon=b1869ac0-130c-11f1-a36d-e2d8824c4151%7E3&requestid=20260226211426395040929916&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","무염버터","7954264617"
"앵커버터 (무가염 - 나트륨 함유제품) [원산지:뉴질랜드], 40개, 227g","181170","227","798.1057","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=9081548022&itemId=27586370286&vendorItemId=94549951181&traceid=V0-153-d779ce483b83ba46&clickBeacon=b1869ac0-130c-11f1-ab61-79096e856168%7E3&requestid=20260226211426395040929916&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","무염버터","9081548022"
"빵에 발라먹기 좋은 무염 포션버터 7g / 빵버터, 60개, 7g","17900","7","2557.1429","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=7652737477&itemId=26883167626&vendorItemId=93852699578&traceid=V0-153-846f2e23aa199355&clickBeacon=b186c1d0-130c-11f1-8803-938c8c64ca17%7E3&requestid=20260226211426395040929916&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","무염버터","7652737477"
"브레드가든 바닐라 에센스","5810","1000","5.81","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=8288390974&itemId=521041675&vendorItemId=4346865512&traceid=V0-153-b4ce783ada9e02e5&requestid=20260226211429478304538155&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","바닐라익스트랙","8288390974"
"브레드가든 바닐라오일","7660","1000","7.66","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=1602490042&itemId=6712324613&vendorItemId=85322116740&traceid=V0-153-1a1ebe8be58f02eb&requestid=20260226211429478304538155&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","바닐라익스트랙","1602490042"
"바니브로 바닐라빈 익스트랙","19800","1000","19.8","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=6386549981&itemId=13593526171&vendorItemId=92042750979&traceid=V0-153-5e37f8931e250ea9&requestid=20260226211429478304538155&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","바닐라익스트랙","6386549981"
"bon vanilla 리얼 바닐라빈 익스트렉 110g","16900","110","153.6364","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=7865705269&itemId=21474514052&vendorItemId=88528783338&traceid=V0-153-a8ff8b171a1069ad&requestid=20260226211429478304538155&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","바닐라익스트랙","7865705269"
"해피바닐라 바닐라빈 B grade, 1kg, 1개","399900","1000","399.9","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=8244618394&itemId=10731868134&vendorItemId=78012474848&traceid=V0-153-7d1ce708f59b04bb&clickBeacon=b35d5690-130c-11f1-a6d3-9ba4eecf5b06%7E3&requestid=20260226211429478304538155&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","바닐라익스트랙","8244618394"
"프리미엄 바닐라빈, 25g, 3개","51000","25","2040.0","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=7849580469&itemId=19443216417&vendorItemId=86554192124&traceid=V0-153-0e3ffb6d3aa76df3&clickBeacon=b35d5690-130c-11f1-853f-6c2ae5b8b0e5%7E3&requestid=20260226211429478304538155&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","바닐라익스트랙","7849580469"
"갈아서 먹는 프리미엄 바닐라빈 마다가스카르 gourmet 최상급, 1개, 30g","68000","30","2266.6667","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=8917768996&itemId=26057769710&vendorItemId=93039115999&traceid=V0-153-e66b84e5c3e6cb8a&clickBeacon=b35d5690-130c-11f1-99f1-9f8ee0712017%7E3&requestid=20260226211429478304538155&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","바닐라익스트랙","8917768996"
"백설 박력 밀가루","2160","1000","2.16","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=8636235561&itemId=25058469104&vendorItemId=92062734178&traceid=V0-153-62ffe2f3f3908a16&requestid=20260226211425682200297316&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","박력분","8636235561"
"새롬푸드 가루미박력쌀가루, 1개, 15kg","36100","15000","2.4067","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=9061154183&itemId=24691524878&vendorItemId=91701337787&traceid=V0-153-5def93f4c185788f&clickBeacon=b119f640-130c-11f1-8d97-32eaaaf5d06a%7E3&requestid=20260226211425682200297316&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","박력분","9061154183"
"햇방아 제빵생활 박력쌀가루 10kg / 쌀가루(국산)100%, 1개, 10kg","29500","10000","2.95","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=8239540163&itemId=24091965101&vendorItemId=87438452326&traceid=V0-153-8065b662ff11bf21&clickBeacon=b11a1d50-130c-11f1-af4f-8e3734235238%7E3&requestid=20260226211425682200297316&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","박력분","8239540163"
"곰표 박력 밀가루","4220","1000","4.22","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=4953089&itemId=25523345755&vendorItemId=92662759667&traceid=V0-153-0d66b4f068c3fca5&requestid=20260226211425682200297316&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","박력분","4953089"
"우리밀 [농협] 통밀가루 1kg, 1kg, 5개","19300","1000","19.3","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=9334804954&itemId=27301998757&vendorItemId=94268534699&traceid=V0-153-b9beda306005d250&clickBeacon=b11a1d50-130c-11f1-a20a-e3011f3611fc%7E3&requestid=20260226211425682200297316&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","박력분","9334804954"
"Organic KAMUT 호라산 밀가루 1파운드 돌로 갈은 가루 100% 통곡물, 1개, 500g","146200","500","292.4","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=8608795548&itemId=24193605973&vendorItemId=91211293759&traceid=V0-153-62df9e91e0b853e1&clickBeacon=b119f640-130c-11f1-ba00-d0f19e529e4b%7E3&requestid=20260226211425682200297316&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","박력분","8608795548"
"세제의기본 천연 세제 3종 세트 베이킹소다+구연산+과탄산소다 2kgX3개, 1세트","28900","6000","4.8167","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=7702379684&itemId=20625979553&vendorItemId=94811615309&traceid=V0-153-4505520932430c35&clickBeacon=b2d93270-130c-11f1-94c3-78f8f4c9e172%7E3&requestid=20260226211428612274307364&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","베이킹소다","7702379684"
"참그린 참 순수한 베이킹소다","6210","1000","6.21","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=7070771728&itemId=18197669966&vendorItemId=3121849665&traceid=V0-153-6b25559ffe07e5d7&requestid=20260226211428612274307364&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","베이킹소다","7070771728"
"[비건라이프] 한입 베이킹소다 알파","6700","1000","6.7","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=6596056165&itemId=132235438&vendorItemId=88353424154&traceid=V0-153-00f4a6a72fad36e0&requestid=20260226211428612274307364&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","베이킹소다","6596056165"
"암앤해머 베이킹소다","7320","1000","7.32","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=8374242252&itemId=3296287&vendorItemId=93138690031&traceid=V0-153-8c7e8ef78a99f1ec&requestid=20260226211428612274307364&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","베이킹소다","8374242252"
"소다스쿨 베이킹소다 대용량, 3kg, 6개","32520","3000","10.84","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=157999828&itemId=18173823666&vendorItemId=85323081145&traceid=V0-153-5507588cf67d4821&clickBeacon=b2d93270-130c-11f1-9efd-9926c5cc4339%7E3&requestid=20260226211428612274307364&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","베이킹소다","157999828"
"순담 베이킹소다","17790","1000","17.79","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=7890729952&itemId=21603441825&vendorItemId=91163005980&traceid=V0-153-3eaf7eb89529536d&requestid=20260226211428612274307364&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","베이킹소다","7890729952"
"아이앤어스 국내산 프리미엄 베이킹소다, 6개, 1kg","25200","1000","25.2","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=8984800909&itemId=26471851275&vendorItemId=93446981194&traceid=V0-153-9e588fc617f4765c&clickBeacon=b2d93270-130c-11f1-8bf0-9bf420d5df4d%7E3&requestid=20260226211428612274307364&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","베이킹소다","8984800909"
"소다스쿨 베이킹소다1kg + 구연산1kg + 과탄산소다1kg 세트, 3세트","41100","1000","41.1","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=6059567645&itemId=18173823205&vendorItemId=85323080533&traceid=V0-153-7bc970006c1de18d&clickBeacon=b2d93270-130c-11f1-be3a-487652ab7099%7E3&requestid=20260226211428612274307364&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","베이킹소다","6059567645"
"퓨어홈 베이킹소다 3kg x 2개(6kg), 3kg, 2개","9880","6000","1.6467","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=7558575446&itemId=19908345467&vendorItemId=86983919460&traceid=V0-153-68c24c2095897770&clickBeacon=b2bd4600-130c-11f1-bdb9-d10ed939a1ed%7E3&requestid=20260226211428432042472688&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","베이킹파우더","7558575446"
"곰곰 베이킹 파우더","2500","1000","2.5","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=8677965391&itemId=25191327214&vendorItemId=92188067441&traceid=V0-153-fafbcad6afcec110&requestid=20260226211428432042472688&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","베이킹파우더","8677965391"
"브레드가든 착한 베이킹파우더","4400","1000","4.4","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=1066495005&itemId=2013341985&vendorItemId=70013142933&traceid=V0-153-a60a6f3c49f8870f&requestid=20260226211428432042472688&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","베이킹파우더","1066495005"
"SIB 베이킹 파우더","5200","1000","5.2","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=54987976&itemId=191768951&vendorItemId=70108317380&traceid=V0-153-4a66ae913d665a39&requestid=20260226211428432042472688&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","베이킹파우더","54987976"
"브레드가든 무알루미늄 착한 베이킹 파우더","11400","1000","11.4","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=1419359609&itemId=2457080618&vendorItemId=71233128835&traceid=V0-153-076781115441e59b&requestid=20260226211428432042472688&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","베이킹파우더","1419359609"
"백설 핫케익믹스, 1kg, 2개","11400","1000","11.4","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=105150&itemId=8370866&vendorItemId=93290257832&traceid=V0-153-136f931f08343f5a&clickBeacon=b2bd4600-130c-11f1-b9aa-731d71437140%7E3&requestid=20260226211428432042472688&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","베이킹파우더","105150"
"껍질까지 통째로 갈아 더 고소한 100% 구운 아몬드 가루 비건 베이킹 분말 파우더 글루텐프리, 1개","18900","1000","18.9","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=7825654109&itemId=24274844121&vendorItemId=91291266818&traceid=V0-153-3f36491ef6603c64&clickBeacon=b2bd4600-130c-11f1-8d18-af951e48362b%7E3&requestid=20260226211428432042472688&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","베이킹파우더","7825654109"
"[1KG] 무가당 더치 코코아 가루 분말(100%) 네덜란드산, 1개, 1kg, 1개입","27500","1000","27.5","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=6761448284&itemId=15846720259&vendorItemId=83057569759&traceid=V0-153-dd86db24e39efd91&clickBeacon=b2bd4600-130c-11f1-81ea-fd185b261b65%7E3&requestid=20260226211428432042472688&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","베이킹파우더","6761448284"
"새마원 베이킹파우더 분말, 20개, 150g","15780","150","105.2","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=8783951482&itemId=25559629185&vendorItemId=92550943330&traceid=V0-153-d6abb0eb008d11d9&clickBeacon=b2bd4600-130c-11f1-9e09-13ea116b309f%7E3&requestid=20260226211428432042472688&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","베이킹파우더","8783951482"
"[로켓프레시] 남양유업 생크림 골드","5940","1000","5.94","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=7858667221&itemId=21439368367&vendorItemId=88494016634&traceid=V0-153-10ff76491fa7f6cd&requestid=20260226211430007129561534&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","생크림","7858667221"
"서울우유 생크림","6200","1000","6.2","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=1261099141&itemId=2262176852&vendorItemId=70259447962&traceid=V0-153-5f65c8bf716effed&requestid=20260226211430007129561534&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","생크림","1261099141"
"[로켓프레시] 덴마크 생크림","9780","1000","9.78","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=7914698706&itemId=21725973545&vendorItemId=88775180838&traceid=V0-153-e8e3818daafd6596&requestid=20260226211430007129561534&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","생크림","7914698706"
"새마원 버터 와플 크림 시럽 잼 토핑 휘핑 카페 재료 생크림, 3kg, 2개","36800","3000","12.2667","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=8401685001&itemId=20962188280&vendorItemId=91248613630&traceid=V0-153-8d4be8ee3c7cf8e1&clickBeacon=b3ae83d0-130c-11f1-b6e9-6f65f0d7cc05%7E3&requestid=20260226211430007129561534&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","생크림","8401685001"
"새마원 초코 와플 크림 시럽 잼 토핑 휘핑 카페 재료 생크림, 2개, 3kg","37800","3000","12.6","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=8579456150&itemId=18751134350&vendorItemId=91873059679&traceid=V0-153-54e4e53742fb11bb&clickBeacon=b3ae83d0-130c-11f1-99bd-bf03ef6c7c65%7E3&requestid=20260226211430007129561534&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","생크림","8579456150"
"서울우유 동물성 생크림 500g","7790","500","15.58","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=5643862234&itemId=14221657683&vendorItemId=90940652166&traceid=V0-153-d6849499e5db896c&requestid=20260226211430007129561534&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","생크림","5643862234"
"러시아 사워크림 스메타나 sour cream cmetaha smetana 토핑, 1개, 250g","5200","250","20.8","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=9268532625&itemId=27876576966&vendorItemId=88124733915&traceid=V0-153-15573945cba28f74&clickBeacon=b3ae83d0-130c-11f1-b357-61e5f194eaa7%7E3&requestid=20260226211430007129561534&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","생크림","9268532625"
"메이드케이크 휘핑생크림 80g 130g, 노오븐 홈베이킹 케이크만들기 DIY (하절기 냉매박스 추가구매필수), 130g, 1개","2350","80","29.375","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=8288902422&itemId=27105720792&vendorItemId=94073849622&traceid=V0-153-d93d47c142e97837&clickBeacon=b3ae83d0-130c-11f1-b84e-7114e0727e13%7E3&requestid=20260226211430007129561534&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","생크림","8288902422"
"파스퇴르 우유 생크림, 24개, 250ml","69900","250","279.6","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=9040081696&itemId=26589743967&vendorItemId=93563042174&traceid=V0-153-649e1eaad5f65a79&clickBeacon=b3ae83d0-130c-11f1-8d8e-6f9fa7d7d463%7E3&requestid=20260226211430007129561534&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","생크림","9040081696"
"백설 하얀설탕","6000","1000","6.0","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=7143767691&itemId=15326731304&vendorItemId=92867642925&traceid=V0-153-43e85a3c00024872&requestid=20260226211426725111343561&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","설탕","7143767691"
"자연정미 유기농 비정제 원당 설탕, 1개, 5kg","32900","5000","6.58","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=8438651907&itemId=24407881949&vendorItemId=91427252127&traceid=V0-153-fe606927a3cab688&clickBeacon=b1b8a740-130c-11f1-a97d-3ebda3344c1c%7E3&requestid=20260226211426725111343561&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","설탕","8438651907"
"자다르 유기농 사탕수수 100% 유기농설탕, 2개, 5kg","33000","5000","6.6","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=7808432888&itemId=21170598455&vendorItemId=89504290117&traceid=V0-153-898a264baadd441a&clickBeacon=b1b8a740-130c-11f1-8826-0f527f090096%7E3&requestid=20260226211426725111343561&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","설탕","7808432888"
"슈가스위치 알룰로스, 1.35kg, 1개","37810","1350","28.0074","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=8243887914&itemId=23693628306&vendorItemId=87415379627&traceid=V0-153-f438c9c4deb55801&clickBeacon=b1b8a740-130c-11f1-b1be-c0146d4bc96e%7E3&requestid=20260226211426725111343561&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","설탕","8243887914"
"CJ 백설 하얀설탕, 400g, 16개","26000","400","65.0","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=8591387326&itemId=27465156908&vendorItemId=94430413548&traceid=V0-153-6576491542230358&clickBeacon=b1b8a740-130c-11f1-81cb-76565f7c062d%7E3&requestid=20260226211426725111343561&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","설탕","8591387326"
"미원 맛소금","2750","1000","2.75","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=1483853018&itemId=6405899457&vendorItemId=84822074376&traceid=V0-153-cba79424933e1466&requestid=20260226211427525200297616&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","소금","1483853018"
"청정원 히말라야 눈꽃소금","3380","1000","3.38","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=8131269506&itemId=23091900015&vendorItemId=91509787710&traceid=V0-153-e3224e4c2b90645a&requestid=20260226211427525200297616&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","소금","8131269506"
"백설 천일염꽃 구운소금","3720","1000","3.72","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=8321381845&itemId=24018676583&vendorItemId=91039254629&traceid=V0-153-b488daf84599c815&requestid=20260226211427525200297616&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","소금","8321381845"
